"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Adam Eaton","- - -","579","2528","50","371","210","59","9.4 %","17.2 %",".141",".336",".287",".368",".428",".347","117","16.8","67.9","-9.5","14.5","11205"
"Eugenio Suarez","Reds","714","2925","143","373","407","23","9.8 %","24.9 %",".218",".316",".267",".347",".486",".354","117","-13.8","50.9","0.5","14.5","12552"
"Trea Turner","Nationals","482","2124","63","332","216","159","7.5 %","18.6 %",".176",".338",".291",".348",".467",".348","113","28.2","64.0","10.7","14.3","16252"
"Edwin Encarnacion","- - -","709","3060","185","444","538","10","12.7 %","19.7 %",".261",".264",".258",".358",".519",".370","133","-16.6","103.9","-67.7","14.3","2151"
"Marcell Ozuna","- - -","708","2958","122","364","421","18","8.0 %","20.0 %",".188",".309",".274",".334",".462",".339","114","1.1","53.1","-5.9","14.2","10324"
"Brandon Crawford","Giants","740","2908","72","311","358","23","8.3 %","20.2 %",".154",".298",".254",".320",".408",".310","95","-1.0","-22.5","66.4","14.0","5343"
"Jean Segura","- - -","708","3094","59","409","282","110","4.8 %","13.5 %",".129",".324",".292",".333",".421",".325","102","13.6","20.1","18.7","14.0","5933"
"Michael Conforto","Mets","578","2268","109","308","310","14","12.3 %","24.2 %",".229",".294",".253",".353",".481",".353","125","6.1","76.7","-10.2","14.0","16376"
"Tyler Flowers","- - -","461","1662","48","159","193","0","8.8 %","27.6 %",".149",".330",".250",".339",".399",".322","99","-7.4","-9.6","94.0","14.0","9134"
"Ian Kinsler","- - -","661","2782","84","395","278","56","7.3 %","14.3 %",".160",".282",".262",".323",".423",".322","101","3.6","5.4","36.2","13.9","6195"
"Adrian Beltre","Rangers","509","2129","82","268","323","4","7.6 %","13.1 %",".191",".302",".292",".349",".484",".354","116","-3.1","38.6","23.1","13.7","639"
"Todd Frazier","- - -","710","2891","141","362","389","42","9.7 %","22.2 %",".217",".253",".233",".317",".450",".328","107","-3.7","19.1","19.1","13.6","785"
"Jackie Bradley Jr.","Red Sox","654","2534","87","340","314","45","9.5 %","24.8 %",".193",".299",".244",".328",".437",".327","100","16.2","15.6","30.7","13.5","12984"
"Justin Upton","- - -","663","2750","134","380","402","51","10.5 %","28.1 %",".222",".312",".253",".335",".475",".345","119","10.0","71.4","-32.9","13.3","5222"
"Evan Longoria","- - -","730","3052","113","336","380","15","6.7 %","19.6 %",".187",".291",".262",".314",".449",".323","104","0.9","15.8","13.0","13.3","9368"
"Joc Pederson","Dodgers","687","2341","123","323","287","16","12.1 %","24.1 %",".245",".261",".234",".339",".479",".348","120","2.1","61.4","-7.2","13.1","11899"
"A.J. Pollock","- - -","480","1987","72","303","241","81","7.4 %","17.2 %",".200",".307",".280",".339",".481",".348","115","16.3","51.3","10.5","12.9","9256"
"Jason Kipnis","Indians","655","2814","79","337","309","47","8.7 %","18.6 %",".169",".297",".261",".330",".430",".326","101","10.2","10.9","18.0","12.8","9776"
"Daniel Murphy","- - -","639","2542","87","334","390","13","6.7 %","11.3 %",".198",".318",".307",".355",".505",".360","121","-1.5","65.4","-20.7","12.8","4316"
"Brandon Belt","Giants","665","2734","84","339","304","20","13.1 %","23.2 %",".190",".317",".258",".359",".448",".347","119","-0.6","63.9","-26.6","12.7","10264"
"Jose Abreu","White Sox","756","3284","143","403","504","7","5.9 %","19.6 %",".213",".322",".288",".343",".501",".354","125","-15.5","83.5","-70.4","12.7","15676"
"Michael Brantley","- - -","529","2282","63","297","309","42","8.5 %","10.2 %",".167",".319",".307",".368",".473",".358","125","7.2","75.8","-28.8","12.6","4106"
"Kolten Wong","Cardinals","654","2341","40","267","223","60","8.1 %","15.0 %",".129",".300",".266",".343",".395",".319","100","16.1","16.5","32.4","12.5","12532"
"Russell Martin","- - -","530","2008","72","253","231","8","12.6 %","23.9 %",".167",".266",".224",".336",".391",".321","101","-11.8","-11.3","65.3","12.5","4616"
"Ender Inciarte","- - -","642","2747","35","364","216","94","7.1 %","12.6 %",".108",".320",".287",".341",".395",".320","96","18.6","4.4","29.4","12.3","4922"
"Cesar Hernandez","Phillies","732","3026","45","377","239","79","10.1 %","18.5 %",".110",".336",".278",".355",".388",".325","100","6.3","8.0","17.7","12.3","10556"
"Whit Merrifield","Royals","546","2404","49","317","241","107","6.4 %","16.6 %",".149",".340",".296",".344",".445",".337","109","17.0","43.0","-3.0","12.3","11281"
"Yoenis Cespedes","- - -","410","1697","92","239","262","13","7.2 %","21.2 %",".249",".314",".285",".341",".534",".366","133","5.1","73.6","-10.9","12.1","13110"
"Asdrubal Cabrera","- - -","697","2765","93","334","345","18","8.0 %","18.6 %",".179",".303",".269",".332",".448",".333","109","-16.2","14.6","13.6","12.0","4962"
"Yadier Molina","Cardinals","655","2609","60","250","332","25","5.8 %","12.3 %",".133",".295",".277",".323",".411",".315","97","-21.7","-32.1","65.6","11.9","7007"
"Mike Moustakas","- - -","617","2544","130","306","362","8","7.4 %","15.1 %",".227",".265",".264",".325",".491",".343","113","-16.1","25.4","6.8","11.8","4892"
"Ketel Marte","- - -","546","2176","54","275","219","38","8.2 %","15.1 %",".166",".313",".282",".342",".448",".337","109","6.0","33.4","14.1","11.8","13613"
"David Peralta","Diamondbacks","582","2314","77","289","294","23","7.7 %","19.6 %",".192",".337",".290",".350",".482",".354","117","4.8","53.4","-13.0","11.7","2136"
"Francisco Cervelli","- - -","464","1771","28","183","176","10","11.2 %","20.1 %",".116",".327",".265",".362",".380",".330","106","-6.0","6.8","48.9","11.6","5275"
"Kevin Pillar","- - -","762","3031","71","355","298","82","4.0 %","15.1 %",".145",".288",".262",".298",".408",".301","87","21.4","-26.1","38.5","11.6","12434"
"Jason Heyward","- - -","696","2761","60","344","287","47","9.5 %","15.2 %",".135",".292",".261",".334",".396",".317","97","14.9","2.2","22.6","11.6","4940"
"Gary Sanchez","Yankees","372","1576","105","226","262","4","9.5 %","25.2 %",".271",".264",".246",".328",".518",".354","123","-4.0","40.0","19.9","11.4","11442"
"Ryan Braun","Brewers","648","2512","114","354","366","74","8.2 %","19.1 %",".220",".310",".281",".345",".502",".357","121","0.2","64.3","-32.5","11.4","3410"
"Kole Calhoun","Angels","760","3196","115","409","360","21","9.6 %","22.2 %",".175",".283",".244",".321",".419",".318","101","2.1","7.3","-4.5","11.3","11200"
"Ben Zobrist","- - -","587","2358","53","319","257","14","12.3 %","12.4 %",".149",".291",".271",".362",".420",".340","112","-2.3","30.0","3.4","11.2","7435"
"Aaron Hicks","- - -","504","1948","73","265","231","38","12.1 %","19.7 %",".180",".273",".245",".337",".425",".330","106","9.5","25.0","19.4","11.2","5297"
"Odubel Herrera","Phillies","631","2492","60","294","233","56","6.9 %","21.8 %",".146",".339",".276",".333",".423",".326","102","7.8","12.1","14.4","10.8","11476"
"Eduardo Escobar","- - -","670","2652","97","311","370","15","6.9 %","19.3 %",".197",".291",".261",".314",".458",".325","101","2.8","6.3","12.4","10.7","6153"
"Elvis Andrus","Rangers","709","2994","53","378","324","110","6.4 %","13.7 %",".130",".308",".279",".326",".408",".316","89","15.7","-23.0","27.1","10.7","8709"
"Dexter Fowler","- - -","639","2640","75","363","256","53","12.8 %","22.6 %",".171",".300",".246",".350",".418",".334","108","9.9","37.9","-18.3","10.5","4062"
"Paul DeJong","Cardinals","382","1597","74","220","211","11","7.5 %","24.8 %",".216",".292",".251",".318",".467",".332","107","2.6","17.5","36.5","10.5","18015"
"Eddie Rosario","Twins","640","2599","106","369","346","36","4.4 %","19.4 %",".200",".310",".279",".309",".479",".330","105","16.2","33.6","-19.3","10.5","12155"
"Ozzie Albies","Braves","375","1630","54","241","186","37","6.8 %","16.2 %",".194",".307",".279",".332",".473",".340","109","13.1","32.5","18.1","10.3","16556"
"Nicholas Castellanos","- - -","729","3049","109","357","394","9","6.5 %","22.9 %",".207",".335",".280",".330",".487",".345","115","-7.0","51.1","-53.2","10.1","11737"
"Curtis Granderson","- - -","715","2608","107","364","265","23","12.7 %","23.3 %",".209",".266",".231",".335",".440",".333","111","-1.6","32.9","-19.3","10.1","4747"
"Dee Gordon","- - -","640","2702","14","347","163","200","3.5 %","14.1 %",".077",".339",".295",".324",".372",".302","90","26.5","-7.5","14.8","9.8","8203"
"Max Kepler","Twins","553","2229","92","297","280","17","9.9 %","18.2 %",".206",".253",".238",".319",".444",".325","102","6.3","11.6","10.1","9.8","12144"
"Josh Reddick","- - -","673","2598","74","317","299","37","8.3 %","12.9 %",".153",".294",".278",".335",".431",".328","108","9.2","35.2","-28.0","9.7","3892"
"Miguel Cabrera","Tigers","581","2425","87","264","325","1","11.4 %","18.3 %",".178",".337",".297",".379",".475",".362","128","-28.1","50.7","-41.2","9.6","1744"
"Jose Iglesias","- - -","658","2450","28","262","216","46","4.6 %","11.3 %",".102",".299",".273",".313",".375",".298","83","-2.3","-54.2","65.4","9.4","10231"
"Addison Russell","Cubs","615","2212","60","256","253","17","8.4 %","24.1 %",".150",".299",".242",".312",".392",".304","87","6.6","-28.8","50.2","9.4","14106"
"Matt Olson","Athletics","359","1451","89","194","220","2","10.3 %","25.2 %",".258",".285",".254",".343",".512",".359","130","-4.5","49.3","-4.9","9.4","14344"
"Max Muncy","- - -","374","1315","75","203","194","7","15.1 %","25.5 %",".257",".278",".244",".364",".501",".366","132","6.5","60.5","-9.1","9.4","13301"
"Mike Zunino","- - -","494","1707","77","163","199","1","7.3 %","35.4 %",".197",".271",".202",".273",".399",".290","83","-4.7","-39.4","74.2","9.4","13265"
"Ronald Acuna Jr.","Braves","267","1202","67","205","165","53","10.1 %","25.9 %",".246",".343",".285",".365",".532",".376","133","10.8","61.6","-6.4","9.3","18401"
"Randal Grichuk","- - -","632","2360","119","303","315","20","5.8 %","28.3 %",".243",".294",".244",".294",".487",".328","105","3.0","17.0","-4.9","9.2","10243"
"Jason Castro","- - -","425","1507","46","171","143","2","10.9 %","30.5 %",".161",".297",".219",".310",".380",".302","88","-7.5","-28.0","66.4","9.1","8722"
"Travis Shaw","- - -","592","2241","99","273","310","20","10.5 %","23.4 %",".207",".280",".243",".327",".451",".331","103","-1.8","5.9","9.6","9.1","11982"
"Kyle Schwarber","Cubs","492","1884","110","265","255","10","13.0 %","27.9 %",".254",".273",".235",".339",".490",".347","115","0.7","36.9","-7.2","9.1","16478"
"Chris Taylor","- - -","492","1753","51","239","195","37","8.7 %","27.4 %",".188",".341",".260",".330",".449",".332","109","13.4","33.5","0.8","9.1","13757"
"Jed Lowrie","- - -","475","1965","48","229","225","1","10.5 %","17.3 %",".153",".300",".262",".341",".415",".328","109","-2.7","18.5","4.1","9.0","4418"
"Jonathan Schoop","- - -","660","2608","116","330","346","6","4.0 %","22.6 %",".200",".305",".266",".304",".466",".326","103","-9.3","-0.8","1.6","9.0","11265"
"Andrew Benintendi","Red Sox","471","2052","51","275","259","52","10.2 %","18.7 %",".165",".323",".277",".354",".442",".341","109","9.3","31.9","-12.7","9.0","17901"
"David Freese","- - -","584","1963","59","233","243","1","9.2 %","24.5 %",".157",".345",".274",".355",".431",".341","114","-13.0","21.7","3.5","9.0","9549"
"Neil Walker","- - -","603","2288","72","270","259","10","9.8 %","19.0 %",".161",".297",".261",".338",".421",".327","106","0.6","18.0","-3.9","8.9","7539"
"Yoan Moncada","- - -","343","1460","50","190","163","25","9.4 %","31.3 %",".192",".369",".265",".338",".458",".339","114","7.8","34.8","5.1","8.9","17232"
"Marwin Gonzalez","- - -","654","2418","79","279","298","27","7.1 %","21.3 %",".170",".318",".269",".327",".438",".328","108","-5.8","17.5","-12.5","8.8","5497"
"Jonathan Villar","- - -","634","2472","70","324","233","167","8.9 %","26.3 %",".154",".348",".269",".336",".423",".327","102","20.1","24.6","-19.0","8.7","10071"
"Joey Gallo","Rangers","416","1559","110","239","236","18","14.2 %","38.0 %",".304",".275",".212",".331",".516",".355","115","12.1","41.4","-6.9","8.7","14128"
"Dustin Pedroia","Red Sox","361","1620","34","199","179","13","9.3 %","10.8 %",".124",".319",".299",".364",".423",".343","111","-10.1","11.1","18.4","8.7","8370"
"Logan Forsythe","- - -","620","2404","52","276","222","23","10.6 %","22.0 %",".133",".309",".250",".338",".383",".318","99","0.8","-5.0","8.7","8.7","7185"
"Yasiel Puig","- - -","609","2304","97","283","304","57","8.4 %","20.0 %",".199",".294",".264",".330",".462",".336","110","-6.5","23.5","-13.4","8.5","14225"
"Shin-Soo Choo","Rangers","643","2824","96","393","300","43","12.3 %","22.9 %",".176",".323",".265",".369",".440",".352","114","5.2","52.1","-64.9","8.5","3174"
"Juan Soto","Nationals","266","1153","56","187","180","17","16.2 %","20.0 %",".248",".323",".287",".403",".535",".393","143","1.5","65.2","-16.8","8.5","20123"
"Miguel Sano","Twins","486","2051","118","286","315","2","12.0 %","36.3 %",".254",".342",".245",".338",".498",".354","121","-12.0","41.1","-26.9","8.5","12164"
"Martin Maldonado","- - -","517","1758","47","168","152","1","6.9 %","24.1 %",".137",".264",".216",".289",".353",".278","72","-10.0","-70.9","95.2","8.4","6887"
"Brian McCann","- - -","510","1958","83","221","282","2","9.9 %","17.7 %",".178",".248",".237",".323",".415",".319","99","-13.5","-16.5","33.0","8.4","4810"
"Mitch Haniger","- - -","350","1499","62","203","189","17","9.5 %","23.3 %",".212",".317",".267",".348",".480",".352","124","-2.5","41.7","-9.4","8.4","14274"
"Willson Contreras","Cubs","436","1664","67","190","227","12","9.7 %","23.3 %",".203",".319",".267",".350",".470",".350","117","-12.1","23.9","5.9","8.3","11609"
"Howie Kendrick","- - -","515","1902","47","247","209","31","6.9 %","17.0 %",".148",".341",".297",".350",".445",".341","113","-0.8","31.2","-10.9","8.1","4229"
"Corey Dickerson","- - -","576","2223","86","269","277","13","5.2 %","21.5 %",".213",".328",".282",".321",".495",".342","114","-6.0","32.2","-25.4","8.1","10762"
"Freddy Galvis","- - -","780","3135","75","324","315","53","5.5 %","20.5 %",".135",".299",".253",".296",".388",".293","81","5.6","-69.3","47.0","8.0","6609"
"Joe Panik","- - -","609","2414","37","274","215","20","8.4 %","9.1 %",".119",".280",".267",".333",".386",".311","96","-3.3","-18.5","18.6","7.9","11936"
"Khris Davis","- - -","708","2889","183","389","474","11","9.2 %","27.8 %",".260",".273",".242",".317",".502",".345","119","-12.5","53.4","-73.8","7.9","9112"
"Roberto Perez","Indians","385","1317","44","128","158","1","11.2 %","28.5 %",".165",".272",".212",".305",".377",".297","80","-7.4","-39.9","72.4","7.8","2900"
"Jarrod Dyson","- - -","505","1641","17","227","112","130","8.7 %","15.3 %",".099",".281",".242",".316",".340",".289","78","30.0","-15.3","37.4","7.8","4866"
"Tim Anderson","White Sox","521","2161","64","287","206","68","3.3 %","24.8 %",".158",".345",".276",".303",".435",".313","97","8.4","0.8","2.8","7.8","15172"
"Rafael Devers","Red Sox","335","1432","63","222","211","16","7.3 %","20.7 %",".219",".321",".282",".335",".501",".349","114","4.7","31.1","-1.9","7.7","17350"
"Zack Cozart","- - -","392","1589","54","208","166","10","8.6 %","15.7 %",".186",".269",".253",".322",".438",".325","100","-0.7","-0.6","23.6","7.5","2616"
"Matt Duffy","- - -","418","1707","22","189","161","32","7.0 %","15.9 %",".100",".329",".283",".339",".383",".317","102","-4.1","-0.8","17.3","7.5","13836"
"Byron Buxton","Twins","393","1369","38","185","145","60","6.5 %","29.8 %",".178",".319",".237",".292",".414",".300","84","22.6","-2.9","31.1","7.4","14161"
"Gregory Polanco","Pirates","577","2352","71","299","271","67","8.8 %","19.8 %",".178",".293",".254",".321",".432",".321","101","7.4","8.5","-11.2","7.4","12907"
"Wil Myers","Padres","610","2411","95","316","289","82","10.2 %","27.3 %",".198",".313",".249",".328",".447",".332","108","12.5","35.0","-39.5","7.4","10047"
"Starlin Castro","- - -","730","2984","82","325","342","19","4.8 %","18.0 %",".143",".313",".276",".312",".418",".311","94","-8.4","-28.7","4.4","7.4","4579"
"Adam Jones","- - -","718","3029","113","362","368","16","4.8 %","17.3 %",".170",".297",".272",".313",".443",".322","100","0.0","-1.4","-28.6","7.4","6368"
"David Ortiz","Red Sox","297","1240","75","152","235","2","12.7 %","14.6 %",".293",".288",".294",".381",".587",".399","151","-15.2","59.7","-30.4","7.4","745"
"Stephen Piscotty","- - -","567","2304","78","279","295","16","8.4 %","20.6 %",".183",".307",".265",".336",".447",".336","112","-9.4","24.5","-28.1","7.3","13367"
"Travis d'Arnaud","- - -","361","1327","49","150","185","0","7.4 %","18.7 %",".172",".275",".251",".310",".423",".313","98","-3.7","-8.1","36.1","7.3","7739"
"Enrique Hernandez","Dodgers","600","1726","63","219","193","12","9.6 %","21.1 %",".186",".273",".240",".316",".427",".317","99","7.7","5.3","11.4","7.3","10472"
"Jose Bautista","- - -","548","2268","98","320","296","20","15.3 %","21.6 %",".213",".246",".224",".348",".437",".341","115","-7.8","30.7","-37.3","7.3","1887"
"Eric Hosmer","- - -","795","3349","108","420","459","25","8.5 %","19.4 %",".163",".323",".280",".342",".442",".335","109","-10.0","27.3","-67.3","7.3","3516"
"Rhys Hoskins","Phillies","363","1577","81","212","229","9","15.2 %","23.4 %",".255",".266",".239",".364",".494",".363","125","1.3","51.5","-30.7","7.1","16472"
"Brandon Nimmo","Mets","310","1084","31","149","103","14","15.2 %","26.8 %",".186",".342",".254",".387",".440",".361","130","5.2","45.3","-9.5","7.1","12927"
"Wilson Ramos","- - -","575","2191","77","209","326","1","6.5 %","16.7 %",".159",".305",".279",".325",".438",".325","103","-28.4","-18.1","18.0","7.1","1433"
"Billy Hamilton","- - -","644","2456","15","325","127","230","7.6 %","21.2 %",".079",".304",".239",".297",".318",".272","64","49.9","-60.4","50.4","7.1","10199"
"Jorge Polanco","Twins","436","1863","45","230","223","29","7.8 %","16.3 %",".162",".316",".280",".339",".443",".333","107","4.0","19.8","-13.3","7.0","13152"
"Christian Vazquez","Red Sox","374","1319","32","154","132","15","5.5 %","18.6 %",".136",".299",".259",".304",".395",".299","80","-9.7","-41.3","66.5","7.0","9774"
"Cameron Maybin","- - -","560","2049","39","273","197","90","9.8 %","20.1 %",".121",".324",".267",".340",".388",".319","100","8.4","9.8","-9.5","6.9","5223"
"Jake Lamb","Diamondbacks","541","2083","77","268","291","17","11.8 %","25.1 %",".201",".295",".242",".336",".444",".332","101","8.0","10.4","-11.8","6.6","13329"
"Carlos Gonzalez","- - -","616","2444","98","338","328","12","8.3 %","22.3 %",".201",".318",".273",".333",".474",".342","99","2.0","-1.9","-12.6","6.6","7287"
"Scooter Gennett","- - -","587","2207","72","281","285","16","5.6 %","20.9 %",".168",".330",".281",".326",".450",".331","103","-2.6","5.7","-11.4","6.6","10339"
"Jedd Gyorko","- - -","568","1880","79","199","239","10","8.7 %","21.8 %",".183",".284",".251",".318",".435",".324","103","-9.3","-1.4","5.6","6.5","10816"
"Brian Anderson","Marlins","307","1285","31","155","139","7","9.0 %","21.1 %",".158",".325",".267",".349",".425",".335","112","-0.6","18.5","5.3","6.5","18289"
"Rougned Odor","Rangers","706","2869","127","375","380","58","5.9 %","23.7 %",".208",".270",".238",".292",".445",".312","86","9.9","-39.2","2.3","6.3","12282"
"Jonathan Lucroy","- - -","595","2222","49","234","251","7","8.3 %","14.9 %",".133",".289",".262",".327",".395",".312","91","-17.5","-42.4","30.3","6.3","7870"
"Derek Dietrich","- - -","615","2022","65","246","207","4","7.3 %","22.8 %",".182",".303",".252",".342",".433",".334","110","0.0","25.1","-26.9","6.3","10542"
"Justin Smoak","Blue Jays","684","2400","117","283","321","1","12.7 %","24.5 %",".222",".272",".237",".338",".459",".341","114","-18.9","22.9","-42.2","6.3","9054"
"Mark Canha","Athletics","445","1624","67","221","200","13","8.7 %","22.6 %",".201",".288",".249",".333",".450",".336","114","-0.6","27.9","-20.4","6.2","11445"
